"movie_id","original_title","genre","runtime","vote_average","vote_count","title","budget","profit","year"
19995,"Avatar","Action",162,7.2,11800,"Avatar",237,2550965087,2009
19995,"Avatar","Adventure",162,7.2,11800,"Avatar",237,2550965087,2009
19995,"Avatar","Fantasy",162,7.2,11800,"Avatar",237,2550965087,2009
19995,"Avatar","Science Fiction",162,7.2,11800,"Avatar",237,2550965087,2009
285,"Pirates of the Caribbean: At World's End","Adventure",169,6.9,4500,"Pirates of the Caribbean: At World's End",300,6.61e+08,2007
285,"Pirates of the Caribbean: At World's End","Fantasy",169,6.9,4500,"Pirates of the Caribbean: At World's End",300,6.61e+08,2007
285,"Pirates of the Caribbean: At World's End","Action",169,6.9,4500,"Pirates of the Caribbean: At World's End",300,6.61e+08,2007
206647,"Spectre","Action",148,6.3,4466,"Spectre",245,635674609,2015
206647,"Spectre","Adventure",148,6.3,4466,"Spectre",245,635674609,2015
206647,"Spectre","Crime",148,6.3,4466,"Spectre",245,635674609,2015
49026,"The Dark Knight Rises","Action",165,7.6,9106,"The Dark Knight Rises",250,834939099,2012
49026,"The Dark Knight Rises","Crime",165,7.6,9106,"The Dark Knight Rises",250,834939099,2012
49026,"The Dark Knight Rises","Drama",165,7.6,9106,"The Dark Knight Rises",250,834939099,2012
49026,"The Dark Knight Rises","Thriller",165,7.6,9106,"The Dark Knight Rises",250,834939099,2012
49529,"John Carter","Action",132,6.1,2124,"John Carter",260,24139100,2012
49529,"John Carter","Adventure",132,6.1,2124,"John Carter",260,24139100,2012
49529,"John Carter","Science Fiction",132,6.1,2124,"John Carter",260,24139100,2012
559,"Spider-Man 3","Fantasy",139,5.9,3576,"Spider-Man 3",258,632871626,2007
559,"Spider-Man 3","Action",139,5.9,3576,"Spider-Man 3",258,632871626,2007
559,"Spider-Man 3","Adventure",139,5.9,3576,"Spider-Man 3",258,632871626,2007
38757,"Tangled","Animation",100,7.4,3330,"Tangled",260,331794936,2010
38757,"Tangled","Family",100,7.4,3330,"Tangled",260,331794936,2010
99861,"Avengers: Age of Ultron","Action",141,7.3,6767,"Avengers: Age of Ultron",280,1125403694,2015
